Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
PS3,2010,Action,Sony Computer Entertainment,4.8,92.0,101,8.7,2633,SCE Santa Monica,M,2010s,Other,4.624972813284271,7.876258882303226
PS,1999,Racing,Sony Computer Entertainment,4.79,88.0,20,9.0,233,Naughty Dog,E,1990s,Other,3.044522437723423,5.455321115357702
DS,2007,Action,LucasArts,4.76,80.0,9,5.4,46,TT Fusion,E,2000s,Other,2.302585092994046,3.8501476017100584
PS,2000,Action,Atari,4.73,62.0,14,7.7,92,Reflections Interactive,T,2000s,Other,2.70805020110221,4.532599493153256
X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,94.0,87,8.7,1472,Rocksteady Studios,T,2010s,Other,4.477336814478207,7.29505641646263
PS,2000,Sports,Activision,4.68,98.0,19,7.7,299,Neversoft Entertainment,T,2000s,Other,2.995732273553991,5.703782474656201
PS2,2002,Action,Electronic Arts,4.67,82.0,32,8.2,78,Stormfront Studios,T,2000s,Other,3.4965075614664802,4.3694478524670215
PS,1996,Action,Eidos Interactive,4.63,91.0,13,8.6,147,Core Design Ltd.,T,1990s,Other,2.639057329615259,4.997212273764115
Wii,2008,Simulation,Nintendo,4.62,73.0,50,7.6,119,Nintendo,E,2000s,Other,3.9318256327243257,4.787491742782046
PS4,2015,Action,Sony Computer Entertainment,4.62,86.0,78,8.1,1264,Bluepoint Games,T,2010s,Other,4.3694478524670215,7.142827401161621
GC,2002,Action,Nintendo,4.6,96.0,80,8.9,968,Nintendo,E,2000s,Zelda,4.394449154672439,6.876264611890766
Wii,2007,Misc,Activision,4.6,86.0,36,8.4,87,Vicarious Visions,T,2000s,Other,3.6109179126442243,4.477336814478207
3DS,2013,Action,Nintendo,4.59,86.0,74,8.4,458,Next Level Games,E,2010s,Other,4.31748811353631,6.129050210060545
X360,2011,Racing,Microsoft Game Studios,4.57,91.0,83,8.2,617,Turn 10,E,2010s,Other,4.430816798843313,6.42648845745769
PS2,2004,Sports,Electronic Arts,4.53,91.0,30,7.9,78,EA Tiburon,E,2000s,Madden,3.4339872044851463,4.3694478524670215
X360,2007,Misc,Activision,4.53,85.0,69,7.9,165,Neversoft Entertainment,T,2000s,Other,4.248495242049359,5.111987788356544
PS2,2006,Sports,Electronic Arts,4.49,84.0,29,8.2,39,EA Sports,E,2000s,Madden,3.4011973816621555,3.6888794541139363
XOne,2015,Shooter,Microsoft Game Studios,4.48,84.0,101,6.4,2438,343 Industries,T,2010s,Other,4.624972813284271,7.79934339821592
PS2,2002,Action,Activision,4.48,76.0,25,7.9,41,Treyarch,E,2000s,Other,3.258096538021482,3.7376696182833684
PS4,2016,Shooter,Activision,4.46,77.0,82,3.4,1129,Infinity Ward,M,2010s,Call of Duty,4.418840607796598,7.029972911706386
PS2,2005,Action,Sony Computer Entertainment,4.45,94.0,75,8.9,997,SCE Santa Monica,M,2000s,Other,4.330733340286331,6.905753276311464
WiiU,2015,Shooter,Nintendo,4.43,81.0,88,8.5,1184,Nintendo,E10+,2010s,Other,4.48863636973214,7.077498053569231
WiiU,2012,Misc,Nintendo,4.42,77.0,61,7.9,471,Nintendo,E10+,2010s,Other,4.127134385045092,6.156978985585555
PS2,2001,Sports,Activision,4.41,97.0,34,7.5,298,Neversoft Entertainment,T,2000s,Other,3.5553480614894135,5.700443573390686
PS2,2006,Sports,Konami Digital Entertainment,4.39,86.0,19,8.9,33,Konami,E,2000s,Other,2.995732273553991,3.5263605246161616
X360,2006,Role-Playing,Take-Two Interactive,4.38,94.0,90,8.7,1109,Bethesda Softworks,M,2000s,Other,4.51085950651685,7.01211529430638
PS2,2005,Racing,Electronic Arts,4.37,82.0,36,9.1,137,EA Canada,T,2000s,Other,3.6109179126442243,4.927253685157205
Wii,2010,Misc,Ubisoft,4.36,56.0,37,8.3,31,"Ubisoft Paris, Ubisoft Montpellier",E10+,2010s,Other,3.6375861597263857,3.4657359027997265
PS3,2006,Shooter,Sony Computer Entertainment,4.34,86.0,70,8.1,715,Insomniac Games,M,2000s,Other,4.2626798770413155,6.573680166960646
PS2,2005,Role-Playing,Square Enix,4.33,87.0,64,9.0,766,Square Enix,E10+,2000s,Other,4.174387269895637,6.642486801367256
WiiU,2013,Platform,Nintendo,4.32,93.0,83,9.0,1607,Nintendo,E,2010s,Mario,4.430816798843313,7.382746449738912
X360,2008,Role-Playing,Microsoft Game Studios,4.27,89.0,95,6.5,2423,Lionhead Studios,M,2000s,Other,4.564348191467836,7.793174347189205
GBA,2001,Misc,Namco Bandai Games,4.24,79.0,10,7.3,6,Mass Media,E,2000s,Other,2.3978952727983707,1.9459101490553132
PS3,2009,Action,Eidos Interactive,4.23,91.0,70,8.9,1122,Rocksteady Studios,T,2000s,Other,4.2626798770413155,7.023758954738443
PS2,2004,Action,Konami Digital Entertainment,4.23,91.0,68,9.3,955,KCEJ,M,2000s,Other,4.23410650459726,6.862757913051401
PS3,2011,Action,Ubisoft,4.22,80.0,39,7.5,613,Ubisoft Montreal,M,2010s,Other,3.6888794541139363,6.419994928147142
XOne,2015,Role-Playing,Bethesda Softworks,4.22,88.0,39,6.2,1749,Bethesda Game Studios,M,2010s,Other,3.6888794541139363,7.4673710669175595
X360,2013,Sports,Electronic Arts,4.22,84.0,41,4.2,435,EA Canada,E,2010s,FIFA,3.7376696182833684,6.077642243349034
PSP,2006,Platform,Sony Computer Entertainment,4.21,85.0,59,8.7,109,Ready at Dawn,E10+,2000s,Other,4.0943445622221,4.700480365792417
PS2,2005,Sports,Electronic Arts,4.21,80.0,32,7.8,47,EA Canada,E,2000s,FIFA,3.4965075614664802,3.8712010109078907
PS2,2003,Misc,Sony Computer Entertainment,4.2,80.0,32,7.5,22,"SCEE, Zoe Mode",E,2000s,Other,3.4965075614664802,3.1354942159291497
