Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
XB,2002,Action,Atari,53.0,19,5.2,5,Paradigm Entertainment,T,2000s,Other,2.995732273553991,1.791759469228055
PS2,2001,Sports,Konami Digital Entertainment,58.0,15,7.8,14,KCEO,E,2000s,Other,2.772588722239781,2.70805020110221
XB,2003,Role-Playing,Mindscape,71.0,31,8.2,6,Arkane Studios,M,2000s,Other,3.4657359027997265,1.9459101490553128
GBA,2002,Role-Playing,Atlus,62.0,8,8.3,15,Multimedia Intelligence Transfer,E,2000s,Other,2.19722457733622,2.772588722239781
DS,2005,Puzzle,Namco Bandai Games,71.0,41,7.1,7,Namco,E,2000s,Other,3.737669618283368,2.079441541679836
PSP,2009,Action,Ubisoft Annecy,63.0,27,8.0,13,Now Production,M,2000s,Other,3.332204510175204,2.639057329615259
PSP,2006,Fighting,Capcom,80.0,35,8.0,27,Capcom,T,2000s,Other,3.58351893845611,3.332204510175204
PS2,2005,Sports,Electronic Arts,87.0,25,8.5,36,EA Sports,E,2000s,Other,3.258096538021482,3.610917912644224
Wii,2008,Sports,THQ,44.0,17,8.0,41,HB Studios Multimedia,E,2000s,Other,2.8903717578961645,3.737669618283368
PS2,2005,Shooter,Ubisoft,70.0,15,6.9,9,"Red Storm Entertainment, Ubisoft Montreal",M,2000s,Other,2.772588722239781,2.302585092994046
Wii,2009,Racing,Electronic Arts,68.0,22,7.4,5,EA Games,E,2000s,Other,3.1354942159291497,1.791759469228055
GBA,2004,Action,Konami Digital Entertainment,65.0,9,7.5,27,Konami,E,2000s,Other,2.302585092994046,3.332204510175204
GBA,2002,Platform,Vivendi Games,76.0,18,7.6,13,Digital Eclipse,E,2000s,Other,2.9444389791664403,2.639057329615259
PS2,2007,Misc,Electronic Arts,52.0,12,7.5,27,"Pipeworks Software, Inc.",E10+,2000s,Other,2.5649493574615367,3.332204510175204
XB,2003,Racing,Atari,74.0,26,9.1,7,Milestone S.r.l,E,2000s,Other,3.295836866004329,2.079441541679836
DS,2008,Role-Playing,Sting,76.0,25,8.6,23,Sting,T,2000s,Other,3.258096538021482,3.1780538303479458
WiiU,2016,Action,Warner Bros. Interactive Entertainment,69.0,4,6.8,15,TT Games,E10+,2010s,Other,1.6094379124341005,2.772588722239781
Wii,2006,Shooter,Ubisoft,38.0,23,5.3,53,Ubisoft Montreal,M,2000s,Other,3.1780538303479458,3.9889840465642745
PS3,2010,Sports,Electronic Arts,88.0,38,7.1,54,Electronic Arts,E10+,2010s,Other,3.6635616461296463,4.007333185232471
GBA,2002,Racing,Konami Digital Entertainment,69.0,11,7.5,27,Konami,E,2000s,Other,2.4849066497880004,3.332204510175204
PS3,2009,Simulation,505 Games,81.0,28,7.3,20,Gaijin Entertainment,T,2000s,Other,3.367295829986474,3.044522437723423
PS2,2002,Sports,Sony Computer Entertainment,78.0,21,8.3,7,SCEE London Studio,E,2000s,Other,3.091042453358316,2.079441541679836
X360,2011,Action,Ignition Entertainment,75.0,44,7.0,47,Ignition Entertainment,T,2010s,Other,3.80666248977032,3.8712010109078903
PSP,2009,Strategy,Deep Silver,68.0,16,8.8,4,Stormregion,T,2000s,Other,2.833213344056216,1.6094379124341005
GBA,2002,Action,Konami Digital Entertainment,55.0,9,7.5,27,KCEA,E,2000s,Other,2.302585092994046,3.332204510175204
GC,2006,Platform,Midway Games,51.0,8,7.5,27,Artificial Mind and Movement,E10+,2000s,Other,2.19722457733622,3.332204510175204
PS2,2003,Shooter,Vivendi Games,81.0,28,8.9,17,Mass Media,T,2000s,Other,3.367295829986474,2.8903717578961645
PS2,2009,Action,Electronic Arts,50.0,4,2.3,6,Double Helix Games,T,2000s,Other,1.6094379124341005,1.9459101490553128
X360,2012,Sports,Electronic Arts,77.0,47,6.7,58,EA Sports,E,2010s,FIFA,3.8712010109078903,4.07753744390572
PS,1998,Platform,GT Interactive,88.0,13,9.1,69,Oddworld Inhabitants,T,1990s,Other,2.639057329615259,4.248495242049359
XB,2004,Adventure,Codemasters,75.0,46,8.0,6,Free Radical Design,T,2000s,Other,3.8501476017100575,1.9459101490553128
DS,2008,Shooter,Zoo Games,35.0,4,7.5,27,Big Blue Entertainment,E,2000s,Other,1.6094379124341005,3.332204510175204
PSP,2007,Role-Playing,Sega,51.0,20,6.0,9,Totally Games,T,2000s,Other,3.044522437723423,2.302585092994046
PS,2000,Racing,Sony Computer Entertainment,85.0,7,8.9,16,Attention To Detail,E,2000s,Other,2.079441541679836,2.833213344056216
PC,2007,Sports,Electronic Arts,77.0,7,6.1,50,EA Canada,E,2000s,FIFA,2.079441541679836,3.9318256327243257
PC,2006,Action,Activision,86.0,20,8.2,64,Traveller's Tales,E10+,2000s,Other,3.044522437723423,4.174387269895637
PC,2007,Strategy,Vivendi Games,89.0,44,8.1,301,Massive Entertainment,T,2000s,Other,3.80666248977032,5.71042701737487
XB,2002,Racing,Midway Games,71.0,19,7.5,27,Point of View,T,2000s,Other,2.995732273553991,3.332204510175204
PS3,2008,Simulation,Ubisoft,62.0,22,7.6,31,From Software,T,2000s,Other,3.1354942159291497,3.4657359027997265
GC,2002,Fighting,Acclaim Entertainment,59.0,14,7.5,27,Acclaim,T,2000s,Other,2.70805020110221,3.332204510175204
PS3,2009,Sports,Sony Computer Entertainment,90.0,27,8.1,61,SCEA San Diego Studios,E,2000s,Other,3.332204510175204,4.127134385045092
PS4,2015,Shooter,Sony Computer Entertainment,63.0,94,6.6,3172,"Ready at Dawn, SCE Santa Monica",M,2010s,Other,4.553876891600541,8.062432791583195
Wii,2008,Shooter,Ubisoft,45.0,13,6.6,17,Gearbox Software,M,2000s,Other,2.639057329615259,2.8903717578961645
PSP,2005,Misc,Midway Games,63.0,24,7.8,8,Digital Eclipse,M,2000s,Other,3.218875824868201,2.19722457733622
X360,2005,Action,Take-Two Interactive,81.0,33,8.6,31,Visual Concepts,E,2000s,Other,3.5263605246161616,3.4657359027997265
PSP,2008,Racing,Take-Two Interactive,79.0,26,8.7,43,Rockstar London,T,2000s,Other,3.295836866004329,3.784189633918261
3DS,2011,Platform,Sega,66.0,29,6.9,108,"Sega, Dimps Corporation",E,2010s,Other,3.4011973816621555,4.691347882229144
