Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
15,2005,0,10,0.27,0.21,0.0,0.07,64.0,41.0,7.3,70.0,7,68.5
27,2012,0,19,0.16,0.0,0.0,0.01,71.0,22.0,5.2,5.0,2,61.5
4,2006,7,12,0.17,0.01,0.04,0.01,82.0,39.0,7.8,25.0,2,80.0
19,2014,1,11,0.0,0.0,0.01,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2013,0,12,0.03,0.41,0.51,0.0,78.0,39.0,4.1,303.0,1,59.5
6,2005,3,23,0.37,0.14,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
14,2000,5,19,0.01,0.0,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
15,2001,6,15,1.13,0.32,0.0,0.22,84.0,28.0,7.8,13.0,7,81.0
6,2003,6,23,0.86,0.32,0.0,0.02,55.0,14.0,6.8,9.0,1,61.5
12,2012,1,19,0.0,0.13,0.0,0.02,74.0,33.0,8.2,307.0,8,78.0
25,2010,0,23,0.18,0.02,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
18,2009,0,23,0.02,0.04,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
15,2006,1,12,0.0,0.0,0.04,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2014,8,26,0.34,0.68,0.08,0.19,71.0,22.0,7.3,113.0,5,72.0
16,2010,8,20,0.41,0.46,0.0,0.18,65.0,57.0,7.3,168.0,5,69.0
2,2011,9,26,0.07,0.0,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
15,2000,10,10,0.17,0.13,0.18,0.04,78.0,15.0,7.5,24.0,1,76.5
22,1992,2,19,0.0,0.0,0.39,0.0,71.0,22.0,7.5,24.0,8,73.0
5,1999,9,19,0.0,0.0,0.3,0.0,71.0,22.0,7.5,24.0,8,73.0
4,2008,7,17,0.94,0.53,0.62,0.18,68.0,24.0,8.2,27.0,1,75.0
4,2010,3,16,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
28,2003,10,10,0.44,0.04,0.0,0.02,85.0,19.0,8.2,11.0,1,83.5
18,2011,7,16,0.0,0.0,0.05,0.0,71.0,22.0,7.5,24.0,8,73.0
12,2007,9,19,0.0,0.04,0.0,0.0,75.0,7.0,8.2,9.0,1,78.5
15,2004,9,0,0.03,0.03,0.0,0.01,57.0,25.0,8.2,5.0,7,69.5
18,2010,1,19,0.0,0.0,0.02,0.0,71.0,22.0,7.5,24.0,8,73.0
2,2015,0,19,0.0,0.03,0.0,0.0,71.0,22.0,7.5,24.0,2,73.0
6,2003,9,26,0.14,0.05,0.0,0.0,82.0,8.0,9.2,40.0,1,87.0
28,2003,8,24,0.47,0.15,0.0,0.02,84.0,34.0,8.4,49.0,5,84.0
7,2004,6,10,0.1,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
14,1996,10,25,0.06,0.04,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
4,2008,0,10,0.09,0.0,0.0,0.01,54.0,13.0,7.5,24.0,2,64.5
4,2011,1,19,0.05,0.02,0.0,0.01,71.0,22.0,7.5,24.0,2,73.0
20,1997,10,20,0.0,0.0,0.21,0.0,71.0,22.0,7.5,24.0,8,73.0
18,2010,7,18,0.0,0.0,0.03,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2011,0,8,0.3,0.22,0.0,0.09,70.0,29.0,6.9,13.0,2,69.5
